EpisodeCount,SaisonCount,casting,date,genre,nationality,saison,synopsis,title
24 Episodes,4 Saisons,"Nicola Coughlan,Luke Newton,Claudia Jessie,Ruth Gemmell","
Depuis 2020
","Drame,Historique,Romance",USA,Saison 4,"À Londres, pendant la Régence, Daphne Bridgerton, fille aînée d'une puissante dynastie, est censée se trouver un mari, mais la concurrence est rude et ses envies sont ailleurs...",La Chronique des Bridgerton
24 Episodes,4 Saisons,"Phoebe Dynevor,Regé-Jean Page,Jonathan Bailey,Golda Rosheuvel","
Depuis 2020
","Drame,Historique,Romance",USA,Saison 4,"À Londres, pendant la Régence, Daphne Bridgerton, fille aînée d'une puissante dynastie, est censée se trouver un mari, mais la concurrence est rude et ses envies sont ailleurs...",La Chronique des Bridgerton
24 Episodes,4 Saisons,"Jonathan Bailey,Simone Ashley,Charithra Chandran,Nicola Coughlan","
Depuis 2020
","Drame,Historique,Romance",USA,Saison 4,"À Londres, pendant la Régence, Daphne Bridgerton, fille aînée d'une puissante dynastie, est censée se trouver un mari, mais la concurrence est rude et ses envies sont ailleurs...",La Chronique des Bridgerton
18 Episodes,3 Saisons,"Paddy Considine,Matt Smith (XI),Emma D'Arcy,Olivia Cooke","
Depuis 2022
","Drame,Fantastique",USA,Saison 3,"L'histoire de la famille Targaryen, près de 200 ans avant les événements de ""Game Of Thrones"". Alors que le Roi Viserys règne sur Westeros, la question de sa succession inquiète. Sans progéniture mâle, qui prendra sa suite ? Avec pas moins de 10 dragons adultes sous leur contrôle, les Targaryen dominent le Royaume des Sept Couronnes depuis fort longtemps. La seule puissance capable de les renverser est la Maison Targaryen elle-même. Les tensions, trahisons et jalousies qui secouent le clan en interne leur seront-elles fatales ?",Game of Thrones: House of the Dragon
40 Episodes,5 Saisons,"Karl Urban,Jack Quaid,Antony Starr,Erin Moriarty","
Depuis 2019
","Action,Drame,Science Fiction",USA,Saison 5,"Dans un monde fictif où les super-héros se sont laissés corrompre par la célébrité et la gloire et ont peu à peu révélé la part sombre de leur personnalité, une équipe de justiciers qui se fait appeler ""The Boys"" décide de passer à l'action et d'abattre ces super-héros autrefois appréciés de tous.",The Boys
24 Episodes,3 Saisons,"Sam Corlett,Frida Gustavsson,Leo Suter,Laura Berlin","
Depuis 2022
","Action,Drame,Historique",USA,Saison 3,"100 ans après les premiers vikings, l'histoire de leurs descendants, parmi lesquels les légendaires Leif Erikson, Freydis, Harald Harada et William Le Conquérant, des hommes et des femmes prêts à tout pour survivre dans une Europe en pleine mutation... ",Vikings: Valhalla
8 Episodes,1 Saison,"Jake Gyllenhaal,Ruth Negga,Bill Camp,O-T Fagbenle","
Depuis 2024
","Drame,Thriller",USA,Saison 1,Un brillant procureur se retrouve tout à coup accusé du meurtre d'une jeune et ambitieuse collègue avec laquelle il vient d'avoir une liaison passionnelle.,Présumé innocent
6 Episodes,1 Saison,"Benedict Cumberbatch,Gaby Hoffmann,Jeff Hephner,McKinley Belcher III","
2024
","Drame,Thriller",United Kingdom,Saison 1,"New York, années 1980. Après la disparition d'Edgar, son fils de neuf ans, sur le chemin de l'école, Vincent se lance dans des recherches désespérées. Considéré comme l'un des meilleurs marionnettistes de la Big Apple, créateur d'une émission pour enfants très populaire, Vincent essaie de supporter l'absence de son fils, mais rongé par le chagrin, peu à peu il perd pied. Dégoûté de lui-même et accablé par la culpabilité, il s'accroche à Eric, une marionnette dessinée par Edgar, convaincu de pouvoir porter ce personnage de monstre bleu à l'écran quand son fils reviendra. Alors que le comportement de plus en plus destructeur de Vincent l'éloigne de sa famille, de ses collègues et des enquêteurs qui essaient de l'aider, Eric, une illusion née de la nécessité, devient son seul allié dans sa quête pour retrouver son fils.",Eric
7 Episodes,1 Saison,"Julianne Moore,Nicholas Galitzine,Tony Curran,Sean Gilder","
2024
","Biopic,Drame,Historique","USA,United Kingdom",Saison 1,"L'histoire vraie et scandaleuse de Mary Villiers, comtesse de Buckingham, qui, dans l'Angleterre du XVIIè siècle, a utilisé son fils George afin qu'il séduise le roi Jacques Ier et devienne son amant tout-puissant. À force d’intrigues, la famille Villiers est devenue la plus titrée et la plus influente que la cour d’Angleterre ait jamais connue. ",Mary & George
7 Episodes,1 Saison,,"
Depuis 2024
","Science Fiction,Thriller",Indonesia,Saison 1,Plongez dans un monde de phénomènes surnaturels et de science-fiction avec ces sept histoires troublantes imaginées par le scénariste et réalisateur Joko Anwar.,Nightmares and Daydreams par Joko Anwar
6 Episodes,1 Saison,"Daniel Brühl,Alex Lutz,Théodore Pellerin,Arnaud Valois","
Depuis 2024
","Biopic,Drame",France,Saison 1,"En 1972, Karl Lagerfeld, 38 ans, ambitionne de devenir le couturier français le plus reconnu à une époque où Yves Saint Laurent est la figure incontestée de la mode. Tandis qu’il fait la rencontre de Jacques de Bascher, jeune dandy dont il s’éprend, Lagerfeld se mesure à Saint Laurent et Pierre Bergé, à la tête de la plus prestigieuse maison de couture. Entre rivalités de clans et conflits d'egos, fêtes et décadence, amours tragiques et amitiés grandioses, découvrez l'histoire du Kaiser Karl, celle d’une quête éperdue de reconnaissance.",Becoming Karl Lagerfeld
8 Episodes,1 Saison,"Amandla Stenberg,Jung-jae Lee,Charlie Barnett,Dafne Keen","
Depuis 2024
","Aventure,Science Fiction,Thriller",USA,Saison 1,"Alors que l’Ordre Jedi est à son apogée et que la prospérité règne dans la Haute République, plusieurs crimes mystérieux sont perpétrés. Un maître Jedi respecté va mener une enquête qui va l’opposer à une dangereuse guerrière issue de son passé. Au fur et à mesure que de nouveaux indices apparaissent, tous deux s'engagent sur un chemin obscur où des forces sinistres vont leur montrer que tout n'est pas toujours ce qu'il semble être...",Star Wars : The Acolyte
8 Episodes,1 Saison,"Nicole Wallace,Clara Galle,Ivan Massagué,Gabriel Guevara","
Depuis 2024
",Drame,Spain,Saison 1,"À 17 ans, Alma en a bientôt fini avec le lycée. Elle connaît depuis l'enfance ses amies Greta et Nata avec qui elle partage tout, des sorties aux ennuis typiques de leur âge : le sentiment d'exclusion, la jalousie, les problèmes avec les parents et même les relations toxiques. Mais quand le profil @Iam_colemanmiller publie sur les réseaux sociaux une photo avec la légende : ""Ça, c'était moi avant qu'on me viole"", plus rien ne semble normal et tout bascule. Comment et quand cette agression s'est-elle produite ? Qui se cache derrière ce profil ? Cette allégation est-elle vraie et si oui, qui en est la victime ?",Ni una más
9 Episodes,2 Saisons,"Tomohisa Yamashita,Fleur Geffrier,Tom Wozniczka,Stanley Weber","
Depuis 2023
",Drame,"France,USA,Japan",Saison 2,"Le monde de la gastronomie et du savoir-boire est en deuil : Alexandre Léger, créateur du célèbre Guide des vins Léger et figure tutélaire de l’œnologie, vient de s’éteindre à 60 ans dans sa demeure de Tokyo. Il laisse derrière lui une fille, Camille (29 ans), qui vit à Paris. La jeune femme se rend à Tokyo. Lors de la lecture du testament, elle découvre que son père a rassemblé la plus grande collection de vins au monde. Sauf que pour prétendre à cet héritage, Camille devra affronter un jeune et brillant œnologue, Tomine Issei (29 ans également), qu’Alexandre a formé et qu’il qualifie, dans son testament, de “fils spirituel”.",Les Gouttes de Dieu
9 Episodes,1 Saison,"Joel Edgerton,Jennifer Connelly,Alice Braga,Jimmi Simpson","
Depuis 2024
","Science Fiction,Thriller",USA,Saison 1,"Jason Dessen est un physicien, professeur et père de famille. Une nuit, alors qu’il rentre à pied dans les rues de Chicago, il est enlevé et projeté dans une version alternative de sa vie. L'émerveillement se transforme rapidement en cauchemar lorsqu'il tente de revenir à la réalité, alors plongé dans le paysage hallucinant des vies qu'il aurait pu vivre. Dans ce labyrinthe de réalités, il se lance dans un voyage déchirant pour retrouver sa vraie famille et la sauver de l'ennemi le plus terrifiant et le plus difficile à battre : lui-même.",Dark Matter
4 Episodes,1 Saison,"Virginie Ledoyen,Charlie Dupont,Lannick Gautry,Marie Zabukovec","
Depuis 2024
","Drame,Romance",France,Saison 1,"Esther et Fred Cavalieri forment un couple flamboyant et profondément uni à leurs deux enfants. Alors pourquoi Esther, une femme en apparence sans histoire et sans ennemi, se retrouve-t-elle en danger de mort ? Pour la protéger, Fred embauche Mathias, un garde du corps, le temps que la police trouve le coupable. Seulement, dans leur promiscuité quotidienne, Esther et Mathias vont développer une intimité les attirant irrémédiablement l’un vers l’autre. Et cette tension sensuelle est un vrai danger pour cette famille. Esther peut-elle continuer à faire confiance à ses proches ? Qui veut du mal aux Cavalieri ?",Contre toi
9 Episodes,2 Saisons,"Ella Purnell,Aaron Moten,Walton Goggins,Moises Arias","
Depuis 2024
","Action,Aventure,Science Fiction",USA,Saison 2,"Une terrible catastrophe nucléaire contraint les survivants ""privilégiés"" à se réfugier dans des Vaults, des bunkers anti-atomiques construits pour préserver l'humanité en cas d'apocalypse. 200 ans plus tard, une jeune femme quitte l'Abri 33 et s'aventure à la surface, à la recherche de son père, dans un monde dévasté et violent. ",Fallout
9 Episodes,2 Saisons,"Ella Purnell,Aaron Moten,Walton Goggins,Moises Arias","
Depuis 2024
","Action,Aventure,Science Fiction",USA,Saison 2,"Une terrible catastrophe nucléaire contraint les survivants ""privilégiés"" à se réfugier dans des Vaults, des bunkers anti-atomiques construits pour préserver l'humanité en cas d'apocalypse. 200 ans plus tard, une jeune femme quitte l'Abri 33 et s'aventure à la surface, à la recherche de son père, dans un monde dévasté et violent. ",Fallout
9 Episodes,2 Saisons,"Tomohisa Yamashita,Fleur Geffrier,Stanley Weber,Diego Ribon","
Depuis 2023
",Drame,"France,USA,Japan",Saison 2,"Le monde de la gastronomie et du savoir-boire est en deuil : Alexandre Léger, créateur du célèbre Guide des vins Léger et figure tutélaire de l’œnologie, vient de s’éteindre à 60 ans dans sa demeure de Tokyo. Il laisse derrière lui une fille, Camille (29 ans), qui vit à Paris. La jeune femme se rend à Tokyo. Lors de la lecture du testament, elle découvre que son père a rassemblé la plus grande collection de vins au monde. Sauf que pour prétendre à cet héritage, Camille devra affronter un jeune et brillant œnologue, Tomine Issei (29 ans également), qu’Alexandre a formé et qu’il qualifie, dans son testament, de “fils spirituel”.",Les Gouttes de Dieu
24 Episodes,3 Saisons,"Sam Corlett,Frida Gustavsson,Leo Suter,Laura Berlin","
Depuis 2022
","Action,Drame,Historique",USA,Saison 3,"100 ans après les premiers vikings, l'histoire de leurs descendants, parmi lesquels les légendaires Leif Erikson, Freydis, Harald Harada et William Le Conquérant, des hommes et des femmes prêts à tout pour survivre dans une Europe en pleine mutation... ",Vikings: Valhalla
24 Episodes,3 Saisons,"Sam Corlett,Frida Gustavsson,Leo Suter,Laura Berlin","
Depuis 2022
","Action,Drame,Historique",USA,Saison 3,"100 ans après les premiers vikings, l'histoire de leurs descendants, parmi lesquels les légendaires Leif Erikson, Freydis, Harald Harada et William Le Conquérant, des hommes et des femmes prêts à tout pour survivre dans une Europe en pleine mutation... ",Vikings: Valhalla
40 Episodes,5 Saisons,"Karl Urban,Jack Quaid,Antony Starr,Erin Moriarty","
Depuis 2019
","Action,Drame,Science Fiction",USA,Saison 5,"Dans un monde fictif où les super-héros se sont laissés corrompre par la célébrité et la gloire et ont peu à peu révélé la part sombre de leur personnalité, une équipe de justiciers qui se fait appeler ""The Boys"" décide de passer à l'action et d'abattre ces super-héros autrefois appréciés de tous.",The Boys
